DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170201 55 38 59 16 0.6 28 67 3 1
20170202 108 81 105 30 1.6 63 50 4 1
20170203 216 166 196 45 2.7 87 49 5 0
20170204 295 245 300 49 3.2 93 55 6 0
20170205 43 12 18 7 0.5 25 85 7 1
20170206 38 15 28 8 0.5 30 70 1 0
20170207 107 80 98 21 1.6 62 37 2 0
20170208 42 29 41 7 0.7 25 80 3 0
20170209 41 7 22 3 0.3 12 81 4 0
20170210 43 7 23 3 0.3 17 85 5 0
20170211 73 53 73 21 0.9 49 75 6 1
20170212 140 107 138 42 2.4 81 41 7 1
20170213 113 85 118 25 2.1 70 67 1 0
20170214 233 183 184 31 2.9 99 19 2 0
20170215 282 232 185 38 3.2 110 46 3 0
20170216 129 98 41 18 1.3 52 68 4 0
20170217 49 24 49 8 0.6 32 78 5 0
20170218 117 88 124 27 1.7 77 50 6 1
20170219 124 94 138 23 1.4 59 84 7 1
20170220 37 12 34 5 0.5 27 74 1 0
20170221 83 61 90 15 1.3 58 33 2 0
20170222 100 75 38 7 1 40 71 3 0
20170223 43 19 34 7 0.6 34 77 4 0
20170224 58 25 39 9 0.8 46 75 5 0
20170225 43 11 23 6 0.5 32 85 6 1
20170226 68 29 49 10 0.8 54 71 7 1
20170227 99 66 96 17 1.4 79 52 1 0
20170228 43 14 29 6 0.5 34 86 2 0
